
============================================================
工作表: 旅游-吴德-携程
============================================================
行1: ('序号', '任务指令', '备注', None, '序号', '任务指令', '备注', '作者')
行2: ('以下内容由APP负责人填写', None, None, None, '以下内容由非负责人填写（贡献智慧）', None, None, None)
行3: (1, '点击 “酒店” 图标，进入酒店预订页面。', '低 - 酒店预订页面', None, 1, '帮我买火车票，从10.20号开始到10.22号，每天都买最早的一班车从上海到北京，最晚的一班车回上海', '超长任务，容易攻击到Agent', '冯锦天')
行4: (2, '点击 “机票” 图标，进入机票预订界面。', '低 - 机票预订界面', None, 2, '帮我关闭携程APP的个性化推荐功能！', '深层次页面，他可能找不到', '冯锦天')
行5: (3, '点击 “火车票” 图标，进入火车票预订页面。', '低 - 火车票预订页面', None, 3, '总预算2000。10.20号从武汉坐高铁出发去北京，10.22号回武汉。车站分别是武汉站和北京西站。中间在北京中关村亚朵酒店住。帮我看看预算够不够。告诉我总的最低开销（只计算高铁车票+酒店，不考虑其他费用）', '任务长且考察计算', '冯锦天')
行6: (4, '点击“消息”按钮，进入消息页面', '低 - 酒店列表页面', None, 4, '10.20准备从武汉去北京，告诉我最便宜的交通工具和花费。其中，如果是火车，我只坐高铁，且要求五小时内到达。', None, '冯锦天')
行7: (5, '点击“行程”按钮，进入行程页面', '低 - 机票列表页面', None, None, None, None, None)
行8: (6, '点击“我的”按钮，进入我的页面', '低 - 火车票列表页面', None, None, None, None, None)
行9: (7, '进入 “酒店” 页面，选择城市上海，得到酒店列表', '低 - 酒店列表页面', None, None, None, None, None)
行10: (8, '进入 “酒店” 页面，入住时间选择10月20日，退房时间选择10月21日，得到酒店列表', '低 - 酒店列表页面', None, None, None, None, None)
行11: (9, '进入 “酒店” 页面，选择间数1、成人数1、儿童数1，得到酒店列表', '低 - 酒店列表页面', None, None, None, None, None)
行12: (10, '进入 “机票” 页面，选出发地 “广州”、目的地 “深圳”，得到航班列表', '低 - 机票列表页面', None, None, None, None, None)
行13: (11, '进入 “机票” 页面，选择日期10月22日，得到航班列表', '低 - 机票列表页面', None, None, None, None, None)
行14: (12, '进入“机票”页面，选择经济舱或者公务/头等舱，得到航班列表', '低 - 机票列表页面', None, None, None, None, None)
行15: (13, '进入 “火车票” 页面，选出发地 “北京”、目的地 “上海”，得到车次列表', '低 - 火车票列表页面', None, None, None, None, None)
行16: (14, '进入 “火车票” 页面，选择日期10月24日，得到车次列表', '低 - 火车票列表页面', None, None, None, None, None)
行17: (15, '进入 “火车票” 页面，选择学生票，得到车次列表', '低 - 火车票列表页面', None, None, None, None, None)
